name,subname,actuall_start_time,actuall_end_time,actlength,actshift,reason
数学分析,neirong,2022-06-16 13:53:38.677874,2022-06-16 13:53:41.971724,0,0,finished
数学分析,内容,2022-06-16 13:55:22.450407,2022-06-16 13:55:33.730991,0,0,finished
数学分析,第八章结束,2022-06-16 13:55:45.884710,2022-06-16 14:40:10.667605,0,0,finished
线性代数,nullT,2022-06-16 14:47:27.461943,2022-06-16 16:46:24.205921,0,0,finished
数学分析,内容,2022-06-16 17:46:00.814857,2022-06-16 17:46:09.894477,0,0,finished
数学分析,内容,2022-06-16 17:47:13.346404,2022-06-16 17:47:19.791790,0,0,finished
数学分析,内容,2022-06-16 17:48:39.445916,2022-06-16 17:48:41.819536,0,0,finished
数学分析,内容,2022-06-16 17:49:06.536080,2022-06-16 17:49:15.435437,0,0,finished
数学分析,内容,2022-06-16 17:51:00.200821,2022-06-16 17:51:03.263072,0,0,finished
数学分析,内容,2022-06-16 17:51:27.922567,2022-06-16 17:51:30.150586,0,0,finished
